state,action,reward,next_state
"(20, True, 10)",1,0,"(14, False, 10)"
"(14, False, 10)",1,-2,terminal
"(15, False, 3)",1,-2,terminal
"(12, False, 3)",1,-2,terminal
"(19, False, 8)",2,1,terminal
"(20, False, 2)",1,-2,terminal
"(12, True, 6)",1,0,"(12, False, 6)"
"(12, False, 6)",2,-2,terminal
"(20, True, 2)",1,0,"(20, False, 2)"
"(20, False, 2)",1,-2,terminal
"(14, False, 6)",1,0,"(15, False, 6)"
"(15, False, 6)",1,-2,terminal
"(19, False, 10)",1,-2,terminal
"(15, False, 7)",2,1,terminal
"(21, True, 8)",1,0,"(18, False, 8)"
"(18, False, 8)",2,-2,terminal
"(14, False, 6)",1,0,"(15, False, 6)"
"(15, False, 6)",1,-2,terminal
"(15, False, 8)",2,-2,terminal
"(19, False, 10)",2,1,terminal
"(12, False, 11)",1,0,"(15, False, 11)"
"(15, False, 11)",2,-1,terminal
"(14, True, 2)",2,1,terminal
"(19, False, 5)",2,1,terminal
"(15, False, 10)",1,-2,terminal
"(13, False, 3)",1,0,"(17, False, 3)"
"(17, False, 3)",1,0,"(19, False, 3)"
"(19, False, 3)",1,-2,terminal
"(17, False, 10)",1,-2,terminal
"(21, True, 6)",2,1,terminal
"(21, True, 6)",1,0,"(19, False, 6)"
"(19, False, 6)",1,-2,terminal
"(12, False, 6)",2,1,terminal
"(14, False, 5)",1,0,"(17, False, 5)"
"(17, False, 5)",1,-2,terminal
"(21, True, 4)",1,0,"(17, False, 4)"
"(17, False, 4)",1,-2,terminal
"(15, False, 2)",1,-2,terminal
"(17, False, 10)",2,-2,terminal
"(14, True, 8)",1,0,"(15, True, 8)"
"(15, True, 8)",2,1,terminal
"(11, False, 8)",2,-2,terminal
"(21, True, 10)",1,0,"(13, False, 10)"
"(13, False, 10)",2,-2,terminal
"(18, True, 10)",2,-2,terminal
"(12, False, 8)",2,1,terminal
"(11, False, 10)",1,0,"(21, False, 10)"
"(21, False, 10)",2,1,terminal
"(17, False, 3)",1,-2,terminal
"(14, False, 6)",2,1,terminal
"(19, False, 7)",1,0,"(20, False, 7)"
"(20, False, 7)",1,-2,terminal
"(14, True, 10)",2,-2,terminal
"(21, True, 10)",2,0,terminal
"(12, False, 4)",2,-2,terminal
"(13, False, 2)",2,-2,terminal
"(5, False, 10)",2,1,terminal
"(8, False, 2)",2,1,terminal
"(21, True, 9)",1,0,"(19, False, 9)"
"(19, False, 9)",1,0,"(21, False, 9)"
"(21, False, 9)",2,1,terminal
"(20, False, 10)",2,0,terminal
"(17, False, 11)",1,-1,terminal
"(20, False, 3)",2,-2,terminal
"(16, False, 10)",1,-2,terminal
"(21, True, 2)",1,0,"(19, False, 2)"
"(19, False, 2)",1,-2,terminal
"(17, False, 9)",1,-2,terminal
"(18, True, 11)",1,0,"(18, False, 11)"
"(18, False, 11)",2,2,terminal
"(16, False, 2)",2,-2,terminal
"(19, True, 2)",1,0,"(12, False, 2)"
"(12, False, 2)",1,0,"(18, False, 2)"
"(18, False, 2)",2,1,terminal
"(17, True, 11)",2,2,terminal
"(20, False, 9)",1,-2,terminal
"(9, False, 4)",1,0,"(12, False, 4)"
"(12, False, 4)",1,0,"(17, False, 4)"
"(17, False, 4)",1,-2,terminal
"(10, False, 10)",1,0,"(20, False, 10)"
"(20, False, 10)",1,-2,terminal
"(17, True, 10)",2,-2,terminal
"(9, False, 3)",1,0,"(18, False, 3)"
"(18, False, 3)",2,1,terminal
"(8, False, 9)",2,1,terminal
