state,action,reward,next_state
174,1,-2,321
138,1,-2,321
249,0,0,250
250,1,1,321
214,0,-2,321
158,1,-2,321
317,1,1,321
198,1,1,321
100,0,0,220
220,1,-1,321
319,0,0,180
180,0,-1,321
150,1,1,321
93,0,0,305
305,1,1,321
223,1,-2,321
85,1,-2,321
160,0,0,240
240,0,-1,321
166,1,1,321
184,1,-2,321
178,0,-2,321
317,0,0,278
278,1,-2,321
99,1,-2,321
288,1,1,321
181,0,0,182
182,1,-2,321
121,0,0,241
241,1,0,321
293,1,1,321
233,1,-2,321
97,0,0,294
294,0,-2,321
87,0,0,194
194,0,-2,321
156,1,1,321
238,1,-2,321
200,0,0,260
260,1,-1,321
192,0,-2,321
89,1,1,321
64,1,1,321
138,1,-2,321
188,0,-2,321
126,1,-2,321
294,0,-2,321
89,0,0,278
278,1,1,321
178,1,-2,321
198,0,0,278
278,1,-2,321
171,0,0,172
172,0,-2,321
258,0,-2,321
259,0,0,220
220,0,-1,321
295,1,1,321
248,1,0,321
262,1,-2,321
255,1,0,321
234,1,-2,321
274,0,-2,321
319,1,2,321
158,1,-2,321
172,1,-2,321
118,1,1,321
108,1,-2,321
224,0,-2,321
158,1,-2,321
160,0,0,220
220,1,-1,321
124,1,-2,321
228,0,-2,321
217,0,0,218
218,1,-2,321
186,1,-2,321
92,0,0,184
184,1,1,321
136,0,-2,321
190,1,-2,321
55,0,0,150
150,0,0,290
290,1,1,321
220,0,-1,321
290,1,-2,321
278,1,-2,321
280,0,-1,321
311,0,0,272
272,0,-2,321
298,1,0,321
213,0,0,214
214,1,-2,321
216,1,-2,321
190,0,-2,321
69,0,0,99
99,0,0,158
158,1,-2,321
160,1,-1,321
110,1,-2,321
160,0,-1,321
92,0,0,164
164,0,-2,321
184,0,0,204
204,0,-2,321
294,0,-2,321
140,1,-1,321
42,0,0,92
92,1,-2,321
210,0,0,270
270,1,-2,321
292,0,-2,321
266,0,0,286
286,0,0,306
306,1,1,321
236,1,-2,321
298,1,1,321
222,1,-2,321
128,1,1,321
209,0,0,249
249,1,-2,321
272,1,-2,321
278,1,1,321
186,0,-2,321
190,0,0,290
290,1,1,321
99,0,0,298
298,1,1,321
238,0,0,298
298,0,-2,321
57,1,-2,321
158,0,0,218
218,1,1,321
142,0,-2,321
277,0,0,258
258,0,-2,321
298,1,0,321
158,1,-2,321
264,1,1,321
99,1,-2,321
114,0,0,274
274,1,1,321
298,0,-2,321
309,1,1,321
83,0,0,186
186,0,0,226
226,0,0,246
246,1,-2,321
49,1,-2,321
138,1,1,321
138,0,0,178
178,0,0,298
298,0,-2,321
208,1,-2,321
158,0,-2,321
278,0,0,298
298,1,1,321
220,1,-1,321
278,0,-2,321
212,1,-2,321
198,1,-2,321
256,0,0,316
316,0,-2,321
218,0,0,298
298,0,-2,321
258,1,-2,321
296,1,1,321
130,1,1,321
69,0,0,238
238,0,-2,321
118,1,-2,321
238,0,0,298
298,0,-2,321
198,0,-2,321
255,1,-2,321
282,0,-2,321
99,0,0,238
238,1,-2,321
237,1,1,321
198,1,-2,321
298,0,-2,321
176,0,0,236
236,0,-2,321
204,0,-2,321
57,1,-2,321
166,1,1,321
147,1,-2,321
176,0,0,316
316,1,1,321
246,0,-2,321
94,1,1,321
238,0,-2,321
246,1,-2,321
215,0,0,295
295,0,0,276
276,0,-2,321
146,0,0,306
306,1,1,321
255,0,0,196
196,1,1,321
278,0,0,298
298,1,1,321
106,1,-2,321
184,1,-2,321
218,0,-2,321
98,1,-2,321
186,0,0,206
206,0,-2,321
284,1,1,321
289,1,1,321
301,1,1,321
138,1,1,321
274,0,-2,321
85,1,-2,321
79,1,-2,321
286,0,-2,321
180,0,0,320
320,1,2,321
288,1,1,321
106,0,0,166
166,1,-2,321
300,0,-1,321
49,1,-2,321
178,1,1,321
200,0,0,320
320,1,0.5,321
259,1,-1,321
138,1,1,321
118,0,0,278
278,1,1,321
178,1,-2,321
98,0,0,296
296,1,1,321
142,0,0,262
262,0,-2,321
99,0,0,218
218,1,-2,321
277,0,0,138
138,1,1,321
162,1,-2,321
57,1,-2,321
200,1,2,321
228,0,-2,321
79,0,0,258
258,1,1,321
237,0,0,238
238,1,-2,321
258,1,-2,321
174,1,1,321
104,1,-2,321
118,0,0,318
318,0,-2,321
164,1,-2,321
197,1,-2,321
168,0,-2,321
202,1,-2,321
282,0,-2,321
278,1,-2,321
162,1,-2,321
249,1,1,321
317,0,0,318
318,0,-2,321
256,1,0,321
258,0,0,298
298,0,0,318
318,1,1,321
92,0,0,204
204,0,-2,321
150,0,-2,321
238,1,-2,321
69,0,0,238
238,0,-2,321
192,1,-2,321
290,1,0,321
236,0,-2,321
303,0,0,264
264,0,-2,321
190,0,0,310
310,1,1,321
278,0,-2,321
116,1,-2,321
128,1,-2,321
190,0,-2,321
249,0,0,250
250,1,0,321
254,0,-2,321
203,0,0,184
184,0,-2,321
130,1,-2,321
238,0,-2,321
250,1,1,321
158,0,0,238
238,1,1,321
290,0,-2,321
216,0,0,256
256,1,-2,321
62,1,-2,321
204,0,0,244
244,0,-2,321
238,1,-2,321
212,0,0,312
312,0,-2,321
100,0,0,160
160,0,-1,321
96,1,-2,321
190,0,-2,321
317,1,1,321
311,1,1,321
172,0,0,312
312,1,1,321
218,1,-2,321
258,0,-2,321
140,1,-1,321
208,1,1,321
114,1,-2,321
177,1,-2,321
301,0,0,302
302,0,-2,321
141,1,-2,321
290,1,1,321
158,1,1,321
288,0,-2,321
154,0,0,234
234,1,-2,321
244,1,1,321
213,0,0,154
154,0,0,294
294,1,1,321
85,0,0,230
230,1,1,321
317,1,1,321
236,1,1,321
260,1,2,321
188,0,-2,321
180,0,0,260
260,0,0,280
280,1,0.5,321
252,0,-2,321
305,1,1,321
246,0,-2,321
138,1,-2,321
301,1,1,321
202,1,-2,321
218,0,0,318
318,0,-2,321
258,1,-2,321
124,1,-2,321
198,1,-2,321
177,0,0,297
297,1,1,321
274,1,1,321
178,0,0,278
278,1,1,321
317,0,0,318
318,0,-2,321
286,1,1,321
266,0,-2,321
296,1,1,321
158,0,-2,321
89,0,0,297
297,0,0,317
317,0,0,278
278,0,0,318
318,1,1,321
158,0,0,258
258,0,-2,321
162,1,1,321
218,0,-2,321
317,1,1,321
118,0,0,318
318,1,1,321
196,0,0,296
296,0,-2,321
51,1,-2,321
180,1,-1,321
300,0,-1,321
178,1,-2,321
284,0,-2,321
194,1,-2,321
256,1,1,321
138,1,-2,321
230,0,-2,321
160,0,0,320
320,0,-1,321
278,1,1,321
292,1,1,321
317,1,1,321
130,0,0,190
190,0,-2,321
138,1,1,321
285,1,1,321
136,0,-2,321
178,0,-2,321
148,1,1,321
242,1,-2,321
172,1,1,321
184,1,-2,321
228,1,-2,321
89,1,-2,321
160,0,-1,321
186,1,-2,321
158,0,-2,321
276,0,-2,321
89,0,0,158
158,0,0,198
198,0,-2,321
178,1,-2,321
258,0,-2,321
148,1,-2,321
256,0,-2,321
130,1,1,321
102,1,-2,321
124,1,1,321
