state,action,reward,next_state
"(15, True, 10, False)",stand,1,terminal
"(14, False, 3, False)",hit,-1,terminal
"(19, True, 2, False)",hit,0,"(18, False, 2, False)"
"(18, False, 2, False)",stand,1,terminal
"(14, False, 2, False)",stand,-1,terminal
"(14, False, 8, False)",stand,-1,terminal
"(13, False, 10, False)",stand,-1,terminal
"(14, True, 3, False)",hit,0,"(17, True, 3, False)"
"(17, True, 3, False)",stand,-1,terminal
"(16, False, 5, False)",stand,-1,terminal
"(20, False, 2, False)",hit,-1,terminal
"(21, True, 9, False)",hit,0,"(21, False, 9, False)"
"(21, False, 9, False)",stand,1,terminal
"(15, False, 2, False)",hit,0,"(19, False, 2, False)"
"(19, False, 2, False)",stand,1,terminal
"(10, False, 9, False)",hit,0,"(18, False, 9, False)"
"(18, False, 9, False)",hit,-1,terminal
"(18, False, 9, False)",hit,0,"(20, False, 9, False)"
"(20, False, 9, False)",hit,-1,terminal
"(7, False, 10, False)",stand,-1,terminal
"(16, False, 7, False)",hit,-1,terminal
"(15, False, 2, False)",stand,-1,terminal
"(14, False, 11, True)",stand,-2,terminal
"(18, False, 6, False)",stand,1,terminal
"(20, False, 10, False)",hit,-1,terminal
"(16, False, 7, False)",hit,-1,terminal
"(18, True, 10, False)",hit,0,"(21, True, 10, False)"
"(21, True, 10, False)",stand,1,terminal
"(11, False, 7, False)",stand,-1,terminal
"(15, False, 10, False)",hit,-1,terminal
"(9, False, 8, False)",hit,0,"(20, True, 8, False)"
"(20, True, 8, False)",stand,1,terminal
"(20, False, 7, False)",stand,1,terminal
"(17, False, 9, False)",stand,-1,terminal
"(17, False, 9, False)",stand,1,terminal
"(15, False, 10, False)",hit,0,"(19, False, 10, False)"
"(19, False, 10, False)",hit,-1,terminal
"(15, False, 10, False)",stand,-1,terminal
"(16, False, 5, False)",hit,0,"(18, False, 5, False)"
"(18, False, 5, False)",hit,-1,terminal
"(19, False, 10, False)",hit,0,"(20, False, 10, False)"
"(20, False, 10, False)",stand,1,terminal
"(16, False, 3, False)",stand,1,terminal
"(18, False, 5, False)",hit,-1,terminal
"(6, False, 10, False)",hit,0,"(16, False, 10, False)"
"(16, False, 10, False)",stand,-1,terminal
